302								302
638								638
942								942
1072								1072
1045								1045
404								404
274								274
570								570
814								814
403								403
298								298
801								801
1036								1036
586								586
459								459
608								608
183								183
862								862
187								187
1053								1053
1089								1089
418								418
444								444
513								513
827								827
845								845
674								674
958								958
285								285
474								474
610								610
816								816
1154								1154
278								278
829								829
493								493
282								282
845								845
534								534
1082								1082
461								461
73								73
540								540
1027								1027
1078								1078
939								939
860								860
628								628
911								911
1176								1176
508								508
1074								1074
955								955
1334								1334
447								447
412								412
965								965
1144								1144
1208								1208
1245								1245
1119								1119
637								637
1381								1381
1197								1197
1343								1343
1139								1139
1155								1155
905								905
1036								1036
668								668
876								876
1118								1118
1160								1160
812								812
808								808
1097								1097
822								822
959								959
1037								1037
1258								1258
1251								1251
973								973
1339								1339
572								572
707								707
1343								1343
539								539
1118								1118
809								809
991								991
498								498
1055								1055
1212								1212
845								845
788								788
1002								1002
756								756
621								621
303								303
852								852
736								736
1022								1022
517								517
983								983
915								915
1325								1325
921								921
630								630
256								256
1124								1124
952								952
698								698
1019								1019
940								940
1223								1223
904								904
483								483
905								905
1206								1206
913								913
779								779
1132								1132
1342								1342
394								394
1247								1247
171								171
1078								1078
151								151
668								668
552								552
164								164
1057								1057
766								766
911								911
833								833
333								333
556								556
262								262
496								496
719								719
412								412
639								639
1115								1115
363								363
330								330
485								485
1043								1043
154								154
1033								1033
853								853
580								580
758								758
677								677
425								425
518								518
502								502
1154								1154
856								856
153								153
551								551
188								188
676								676
752								752
632								632
226								226
1127								1127
150								150
799								799
884								884
932								932
179								179
663								663
919								919
687								687
732								732
464								464
941								941
1149								1149
1091								1091
384								384
1086								1086
884								884
545								545
644								644
814								814
221								221
276								276
889								889
1029								1029
1133								1133
376								376
636								636
1139								1139
1067								1067
796								796
1105								1105
891								891
411								411
907								907
830								830
424								424
1165								1165
321								321
786								786
510								510
838								838
1311								1311
961								961
789								789
551								551
973								973
442								442
853								853
489								489
959								959
591								591
428								428
282								282
1360								1360
1270								1270
847								847
1260								1260
1098								1098
1219								1219
133								133
495								495
817								817
1204								1204
466								466
1039								1039
157								157
388								388
552								552
904								904
832								832
504								504
1061								1061
473								473
434								434
566								566
377								377
980								980
552								552
943								943
992								992
576								576
623								623
964								964
1240								1240
823								823
554								554
337								337
627								627
977								977
825								825
337								337
1322								1322
853								853
682								682
1029								1029
196								196
1078								1078
730								730
303								303
1035								1035
1109								1109
869								869
174								174
1010								1010
315								315
999								999
145								145
522								522
256								256
566								566
643								643
770								770
208								208
282								282
1006								1006
1111								1111
619								619
725								725
716								716
307								307
573								573
764								764
480								480
1124								1124
284								284
845								845
1031								1031
1000								1000
1071								1071
1072								1072
233								233
897								897
913								913
255								255
202								202
1081								1081
1100								1100
349								349
1217								1217
567								567
250								250
474								474
606								606
398								398
1333								1333
712								712
137								137
602								602
1001								1001
687								687
734								734
698								698
775								775
676								676
331								331
920								920
1075								1075
560								560
293								293
829								829
904								904
786								786
264								264
621								621
1067								1067
692								692
864								864
998								998
464								464
931								931
638								638
677								677
861								861
726								726
747								747
1037								1037
1006								1006
726								726
776								776
1207								1207
632								632
720								720
261								261
533								533
228								228
685								685
685								685
677								677
685								685
685								685
918								918
1121								1121
444								444
677								677
677								677
241								241
685								685
444								444
918								918
918								918
1121								1121
918								918
241								241
444								444
1121								1121
685								685
677								677
241								241
444								444
685								685
918								918
918								918
1121								1121
241								241
241								241
685								685
241								241
685								685
241								241
241								241
1121								1121
677								677
677								677
918								918
918								918
918								918
685								685
1121								1121
1121								1121
685								685
685								685
685								685
918								918
1121								1121
685								685
1121								1121
918								918
1121								1121
444								444
918								918
241								241
918								918
918								918
1121								1121
685								685
444								444
918								918
429								429
538								538
674								674
639								639
470								470
295								295
986								986
280								280
406								406
1019								1019
1164								1164
178								178
993								993
1145								1145
1278								1278
563								563
604								604
509								509
385								385
509								509
332								332
378								378
480								480
1175								1175
144								144
1150								1150
453								453
613								613
919								919
591								591
1203								1203
1258								1258
683								683
614								614
972								972
400								400
421								421
1008								1008
596								596
392								392
1132								1132
852								852
262								262
533								533
1166								1166
931								931
543								543
246								246
1019								1019
934								934
699								699
164								164
958								958
991								991
171								171
826								826
1004								1004
270								270
798								798
417								417
552								552
116								116
1161								1161
211								211
843								843
440								440
521								521
1007								1007
1197								1197
876								876
879								879
490								490
753								753
608								608
365								365
749								749
691								691
1060								1060
656								656
486								486
823								823
589								589
892								892
1119								1119
900								900
934								934
914								914
591								591
250								250
1060								1060
750								750
609								609
1017								1017
194								194
935								935
667								667
922								922
868								868
405								405
400								400
623								623
432								432
734								734
797								797
846								846
837								837
1013								1013
582								582
711								711
623								623
1187								1187
1144								1144
918								918
610								610
862								862
427								427
709								709
1325								1325
1370								1370
809								809
896								896
698								698
352								352
877								877
648								648
280								280
1061								1061
821								821
815								815
437								437
475								475
665								665
344								344
1317								1317
289								289
554								554
639								639
507								507
639								639
1009								1009
1066								1066
1185								1185
685								685
1416								1416
581								581
517								517
910								910
1046								1046
732								732
452								452
1239								1239
703								703
1021								1021
710								710
945								945
262								262
809								809
659								659
986								986
811								811
1215								1215
930								930
698								698
1066								1066
634								634
613								613
707								707
538								538
819								819
692								692
780								780
1086								1086
197								197
413								413
213								213
681								681
596								596
862								862
1225								1225
1155								1155
820								820
659								659
677								677
469								469
613								613
787								787
1109								1109
728								728
864								864
839								839
1194								1194
1093								1093
435								435
961								961
614								614
1240								1240
606								606
815								815
894								894
379								379
801								801
589								589
518								518
1171								1171
564								564
1051								1051
617								617
610								610
355								355
497								497
794								794
1062								1062
448								448
308								308
1007								1007
348								348
689								689
774								774
1270								1270
529								529
446								446
1062								1062
1048								1048
472								472
709								709
1112								1112
530								530
934								934
908								908
832								832
610								610
516								516
477								477
648								648
356								356
1057								1057
649								649
1408								1408
509								509
1139								1139
1319								1319
1111								1111
867								867
821								821
1271								1271
877								877
1202								1202
828								828
713								713
811								811
340								340
1055								1055
568								568
531								531
1388								1388
792								792
663								663
305								305
833								833
1201								1201
567								567
1032								1032
333								333
1412								1412
415								415
936								936
1139								1139
442								442
515								515
455								455
523								523
693								693
635								635
692								692
1422								1422
567								567
917								917
455								455
651								651
